,start_time,end_time,stdDevX,absAvgX,ZCRX,minMaxX,stdDevY,absAvgY,ZCRY,minMaxY,stdDevZ,absAvgZ,ZCRZ,minMaxZ,maxX,maxY,maxZ,activity
0,0.005,84.545,0.4267345770886871,0.25624565789473686,15.400993612491128,0.9680000000000004,0.7182677941137483,0.38374102870813487,14.300922640170333,0.8418000000000001,0.5832270109964045,0.32462870813397093,16.311805062692216,0.8734999999999999,4.4191,5.3425,5.5041,sitDown
1,6.004,6.99,0.032834816474987365,0.027985204081632645,31.440162271805253,0.06890000000000002,0.036801043287147464,0.031480612244897954,43.61054766734277,-0.040999999999999995,0.06230978510207083,0.053509693877551036,28.397565922920872,0.0032999999999999974,0.1516,0.0772,0.1606,type
2,7.004,7.992,0.025805145887471775,0.024021717171717187,30.364372469635615,0.041400000000000006,0.034281946440749174,0.02959848484848485,37.44939271255059,-0.0276,0.054064458455646655,0.0483419191919192,26.315789473684198,0.015399999999999997,0.0971,0.0867,0.1665,type
3,7.4,8.695,0.9187589575820972,0.7716494163424119,4.633204633204634,-0.8121,1.0819074845015018,0.8277599221789882,6.94980694980695,0.7027999999999999,0.8977387344911795,0.7960190661478601,1.5444015444015444,0.4896999999999998,1.7971,3.2694,2.2316,walk
4,8.015,8.996,0.03221107368130415,0.028359595959595963,33.63914373088686,0.021900000000000003,0.04653973905917003,0.03383333333333333,40.774719673802245,-0.019699999999999995,0.06526650347949951,0.05549696969696969,28.542303771661572,0.0681,0.1099,0.1419,0.2412,type
5,8.5,12.0,0.23340077527641626,0.162636507936508,11.142857142857142,0.10699999999999998,0.9750271580852223,0.6285569985569984,4.285714285714286,1.7711999999999999,0.48003401381165334,0.29309783549783547,14.857142857142858,-0.45609999999999995,0.7609,4.037,1.1591,sitDown
6,8.701,9.196,0.7810924452081489,0.5919454545454546,14.141414141414163,1.0086,1.7750176695454374,1.442136363636364,6.06060606060607,1.7890000000000001,1.1467356889354638,1.1294222222222217,2.0202020202020234,0.41479999999999984,2.0875,4.3086,2.2146,walk
7,9.222,9.899,1.1597506483056772,0.9791964028776977,4.43131462333826,-1.2432000000000003,1.4923412618662053,0.9441323741007196,7.3855243722304325,2.8222,1.4133896826562373,1.050248920863309,10.339734121122605,2.103,1.7146,5.5179,3.8555,walk
8,9.904,10.498,0.6964368872126828,0.5693474576271189,8.417508417508426,1.0928999999999998,1.8287536995625255,1.2365101694915257,8.417508417508426,3.0910999999999995,1.0893883258243002,0.9669652542372884,3.3670033670033703,0.9695,2.2236,5.7726,2.4089,walk
9,11.0,15.0,0.3728793890176369,0.2247421717171716,9.5,0.7928999999999999,1.0521731839790083,0.6166103535353531,9.0,1.9173,0.5347325873807204,0.34308724747474806,13.0,-0.7966000000000002,1.7869,4.6574,1.4032,sitDown
10,12.0,15.998,0.612796119874761,0.42577133838383885,8.7543771885943,0.4820000000000002,0.54112739257127,0.4073700757575763,9.504752376188096,-1.037,0.5574582271514339,0.3654662878787881,10.505252626313158,-1.6057000000000001,2.2852,1.3676,0.9901,lieDown
